num_samples,warmup_steps,thinning,max_tree_depth,raw_samples,max_iter,lengthscales,acquisition_function,best_x,posterior_mu,posterior_sigma
256,512,16,6,512,200,[ 3.68689306  2.04925087 10.          4.31603543],,0.083321-0.367517-0.579833-0.882671,-21.53205848811136,4.274436694934513
256,512,16,6,512,200,[ 3.66851545  1.89150969 10.          6.51724326],,0.039027-0.957979-0.575479-0.545113,-24.349225101312147,3.9350544416238553
256,512,16,6,512,200,[ 3.66851545  1.89150969 10.          6.51724326],,0.039027-0.957979-0.575479-0.545113,-24.349225101312147,3.9350544416238553
256,512,16,6,512,200,[ 4.60471505  2.10193641 10.          6.09646609],,0.039027-0.956131-0.560374-0.545113,11.480621930867251,5.751001687275502
256,512,16,6,512,200,[ 4.32812445  2.37159642 10.          6.4317513 ],,0.965734-0.060554-0.405531-0.457602,13.9101172271838,6.4867715107801835
512,512,16,6,512,200,[2.6040309  2.41730583 2.74711074 2.67073514],ucb,0.410397-0.419532-0.344586-0.416651,-2.3526653349427207,1.1793838420550566
512,512,16,6,512,200,[2.27024116 2.12539382 2.40468898 2.27062137],ucb,0.433279-0.426444-0.259446-0.406283,-0.7091341102553823,0.7234411854471565
512,512,16,6,512,200,[2.22991057 2.07922452 2.49406408 2.25998481],ucb,0.444323-0.374985-0.307873-0.448811,-0.3272353056034447,0.5076668243577356
512,512,16,6,512,200,[2.29787415 2.16878273 2.55037562 2.32931114],ucb,0.453016-0.452949-0.314408-0.455390,-0.17318373148142285,0.42018536417100083
512,512,16,6,512,200,[2.3941073  2.26517569 2.65559153 2.42643995],ucb,0.376626-0.419389-0.293552-0.456557,-0.18258786657977666,0.4141545253026919
512,512,16,6,512,200,[2.39766443 2.24085151 2.63474563 2.41168703],ucb,0.406246-0.400888-0.301739-0.395927,0.041010174155935886,0.2394963606210941
512,512,16,6,512,200,[2.40592204 2.24590548 2.6539133  2.41985281],ucb,0.427564-0.419297-0.301847-0.440025,0.18335685915607947,0.134928342163825
512,512,16,6,512,200,[2.42363675 2.2640555  2.67747151 2.43668446],ucb,0.424031-0.420271-0.306264-0.432386,0.13951412856787826,0.11466089034587831
512,512,16,6,512,200,[2.40166168 2.24065069 2.6678338  2.41429443],nei,0.429096-0.422968-0.264736-0.459739,-0.029102523327010132,0.2060598372172014
512,512,16,6,512,200,[2.378909   2.21498622 2.66042132 2.39126086],nei,0.396004-0.457521-0.308800-0.416663,-0.09416473563802263,0.22308470079464593
512,512,16,6,512,200,[2.37235174 2.21773909 2.65512504 2.38346298],nei,0.410379-0.413073-0.333763-0.464985,-0.009535849886395553,0.1733007912946926
512,512,16,6,512,200,[2.12564067 1.98352445 2.38834198 2.13563657],nei,0.461604-0.418520-0.304989-0.415271,-0.016734817283460046,0.15856496572308776
512,512,16,6,512,200,[2.28516451 2.11488655 2.58268665 2.28536987],nei,0.405487-0.391121-0.290540-0.433849,0.032728391379249544,0.11631796413809667
512,512,16,6,512,200,[0.44260593 0.35331684 0.36821099 0.33249927],ucb,1.000000-0.835276-0.939052-0.649906,19.962232556592255,28.36755791280163
512,512,16,6,512,200,[0.03486297 0.33642274 0.03053511 8.73410595],ucb,1.000000-0.000000-0.000006-0.227730,31.396083594000388,11.343110035893021
512,512,16,6,512,200,[0.01575285 0.33912679 0.01000867 8.04337303],ucb,0.000000-0.000000-1.000000-0.000000,16.467546729289094,12.745464844177823
512,512,16,6,512,200,[0.02197445 3.38152024 0.04386687 9.26539887],ucb,1.000000-0.000000-1.000000-0.000000,28.044493018955073,13.269861857308692
512,512,16,6,512,200,[0.40539355 0.32369642 0.36368087 0.29984778],ucb,1.000000-0.936569-0.818711-1.000000,17.310398264172726,29.45782097232977
512,512,16,6,512,200,[1.20562542 1.58040637 0.0386055  8.32195328],ucb,1.000000-0.000000-1.000000-1.000000,29.82077444773072,13.082135187404857
512,512,16,6,512,200,[0.03578474 2.49100767 0.03438293 7.79175105],ucb,1.000000-1.000000-0.999999-0.075582,28.448546131154302,8.10922620071517
512,512,16,6,512,200,[0.01000315 2.6214245  0.01272506 8.35368035],ucb,0.214008-1.000000-1.000000-0.463510,26.21815776358463,8.101024006438864
512,512,16,6,512,200,[0.24084005 9.95629502 0.25751862 9.99995292],nei,0.026758-0.000000-1.000000-1.000000,27.979895742536794,7.382765314181522
512,512,16,6,512,200,[0.44260593 0.35331684 0.36821099 0.33249927],ucb,1.000000-0.835276-0.939052-0.649906,19.962232556592255,28.36755791280163
512,512,16,6,512,200,[0.03486297 0.33642274 0.03053511 8.73410595],ucb,1.000000-0.000000-0.000006-0.227730,31.396083594000388,11.343110035893021
512,512,16,6,512,200,[0.01575285 0.33912679 0.01000867 8.04337303],ucb,0.000000-0.000000-1.000000-0.000000,16.467546729289094,12.745464844177823
512,512,16,6,512,200,[0.02197445 3.38152024 0.04386687 9.26539887],ucb,1.000000-0.000000-1.000000-0.000000,28.044493018955073,13.269861857308692
512,512,16,6,512,200,[0.40539355 0.32369642 0.36368087 0.29984778],ucb,1.000000-0.936569-0.818711-1.000000,17.310398264172726,29.45782097232977
512,512,16,6,512,200,[1.20562542 1.58040637 0.0386055  8.32195328],ucb,1.000000-0.000000-1.000000-1.000000,29.82077444773072,13.082135187404857
512,512,16,6,512,200,[0.03578474 2.49100767 0.03438293 7.79175105],ucb,1.000000-1.000000-0.999999-0.075582,28.448546131154302,8.10922620071517
