num_samples,warmup_steps,thinning,max_tree_depth,raw_samples,max_iter,lengthscales,acquisition_function,best_x,posterior_mu,posterior_sigma
256,512,16,6,512,200,[1.52874847 0.81789516 0.01075714],ucb,0.510306-0.783630-0.577674,-0.01908794262327261,0.043877092627841875
256,512,16,6,512,200,[ 0.4170089 10.         0.01     ],ucb,1.000000-0.000000-0.008915,-0.08293097126422527,0.09066180385828851
256,512,16,6,512,200,[ 0.4170089 10.         0.01     ],ucb,1.000000-0.000000-0.008915,-0.08293097126422527,0.09066180385828851
256,512,16,6,512,200,[ 0.4170089 10.         0.01     ],ucb,1.000000-0.000000-0.008915,-0.08293097126422527,0.09066180385828851
256,512,16,6,512,200,[5.92349139 0.01043236 0.02193979],ucb,0.992593-0.130092-0.034615,-0.2505451611681074,0.001203047362498884
256,512,16,6,512,200,[5.92349139 0.01043236 0.02193979],ucb,0.992593-0.130092-0.034615,-0.2505451611681074,0.001203047362498884
256,512,16,6,512,200,[5.92349139 0.01043236 0.02193979],ucb,0.928195-0.261300-0.039093,-0.25029022555882835,0.0010734004959805997
256,512,16,6,512,200,[9.99957875 0.01000001 0.01874823],ucb,0.117168-0.807264-0.406627,-0.2375955286251197,0.0005610600538883287
256,512,16,6,512,200,[9.99957875 0.01000001 0.01874823],ucb,0.117168-0.807264-0.406627,-0.2375955286251197,0.0005610600538883287
256,512,16,6,512,200,[9.99957875 0.01000001 0.01874823],ucb,0.117168-0.807264-0.406627,-0.2375955286251197,0.0005610600538883287
256,512,16,6,512,200,[9.99957875 0.01000001 0.01874823],ucb,0.061780-0.841959-0.415061,-0.23770240821716188,0.0006152448796384374
955,1963,27,6,220,968,[9.9951967  1.67776664 2.07656285 1.42483442],ucb,0.346790-1.000000-1.000000-1.000000,12.484245779978469,1.2614859369891507
955,1963,27,6,220,968,[0.2090502  0.08178406 1.07122325 0.36828008],ucb,0.990393-0.984632-1.000000-1.000000,17.28367951036817,3.3406613824155102
955,1963,27,6,220,968,[ 0.02836653 10.          9.99597437  0.31148419],ucb,0.933256-0.996969-1.000000-1.000000,16.52210529864268,3.438266520462164
955,1963,27,6,220,968,[0.33174491 9.97995893 9.99926754 0.20658632],ucb,0.246863-0.978871-1.000000-0.943888,10.288284005829716,11.951822260931234
955,1963,27,6,220,968,[10.          0.04539391  9.99464002  0.21775468],ucb,0.788192-0.721100-1.000000-1.000000,6.639420725014575,19.94784816029408
955,1963,27,6,220,968,[9.99989127 0.03764921 9.96038051 0.24765923],ucb,1.000000-0.000000-1.000000-0.000000,5.782221582030989,14.16596990178986
955,1963,27,6,220,968,[0.21338438 0.04536467 9.9794988  0.24667606],ucb,0.259567-0.873066-1.000000-0.987831,9.531272509517976,5.512019229074709
955,1963,27,6,220,968,[0.21057989 0.04516914 9.9487292  0.0653695 ],ucb,0.272715-0.316689-1.000000-0.080800,4.8446054705209685,8.970224060570766
955,1963,27,6,220,968,[0.22947997 0.04815956 2.93292502 0.06804151],nei,1.000000-0.531197-1.000000-0.000000,4.461438223926745,8.569734595227056
955,1963,27,6,220,968,[9.92331267 3.00452302 9.99957055 0.13156292],nei,1.000000-0.946142-1.000000-0.955901,5.857970755779643,6.752954857299222
955,1963,27,6,220,968,[ 0.57946001  9.99985894 10.          0.140887  ],nei,0.033392-1.000000-0.811265-0.985988,5.482476032573333,7.014788775944493
955,1963,27,6,220,968,[1.49007437 0.04339133 2.00264843 0.07099026],nei,0.107268-0.530433-1.000000-1.000000,5.865627222160815,5.527076283373049
955,1963,27,6,220,968,[9.99999999 0.04388593 9.01502482 0.085549  ],nei,0.000000-0.872375-1.000000-0.023139,3.6020744955638477,7.068327091017452
635,1228,18,8,286,998,[9.9951967  1.67776664 2.07656285 1.42483442],ucb,0.344663-1.000000-1.000000-1.000000,12.481073453312353,1.2629962862655286
635,1228,18,8,286,998,[0.21063815 0.08171475 1.06907531 0.36967259],ucb,0.990703-0.984508-1.000000-1.000000,17.28265376913033,3.342157769099091
635,1228,18,8,286,998,[ 0.02830647 10.          9.99555256  0.31147451],ucb,0.933302-0.961214-0.999999-1.000000,16.532944200357075,3.4321799445314327
635,1228,18,8,286,998,[0.02153097 0.01388774 9.97556579 0.19692742],ucb,0.257897-0.882536-0.801249-1.000000,13.94831957582339,4.603843985279278
635,1228,18,8,286,998,[9.99998067 0.36155504 9.99791461 0.0511401 ],ucb,1.000000-1.000000-1.000000-0.898262,9.084796347906444,18.609611257237855
635,1228,18,8,286,998,[0.23665729 0.27006256 9.99284812 0.06883471],ucb,0.249365-0.867718-0.950728-0.916109,10.163397805056073,3.2113233803149854
