num_samples,warmup_steps,thinning,max_tree_depth,raw_samples,max_iter,lengthscales,acquisition_function,best_x,posterior_mu,posterior_sigma
256,512,16,6,512,200,[1.02807221 1.00268782 1.72166006 1.70966917 1.89551743],ucb,0.452413-0.429158-0.852486-0.993539-0.000000,-0.43408371372630417,0.24440320806350735
256,512,16,6,512,200,[1.0645413  1.02826009 1.70425494 1.69595745 1.90301899],ucb,0.469282-0.357672-0.538962-0.727038-0.000000,-0.3829501608591831,0.15333809569901946
256,512,16,6,512,200,[0.03504147 2.40277676 7.5532927  6.48351147 5.22458683],ucb,0.400142-0.272526-1.000000-1.000000-0.000000,1.2638311036552083,0.08702505970995042
256,512,16,6,512,200,[0.37267031 1.99125476 1.26892078 5.47473197 4.28725118],ucb,0.376211-0.294647-0.589001-0.991114-0.000000,1.3024072736163066,0.10508603117433288
512,512,16,6,512,200,[0.37267031 1.99125476 1.26892078 5.47473197 4.28725118],ucb,0.376211-0.294647-0.589001-0.991114-0.000000,1.3024072736163066,0.10508603117433288
256,512,16,6,512,200,[0.37267031 1.99125476 1.26892078 5.47473197 4.28725118],ucb,0.411147-0.295616-0.596502-0.992756-0.000000,1.3157273938401728,0.09838439140835836
256,512,16,6,512,200,[3.10874423 0.58086253 0.51258598 0.5726422  0.04817009],ucb,0.524836-0.455692-0.667514-0.661090-0.000000,1.0866986586958862,2.835373461145377
256,512,16,6,512,200,[3.10874423 0.58086253 0.51258598 0.5726422  0.04817009],ucb,0.524836-0.455692-0.667514-0.661090-0.000000,1.0866986586958862,2.835373461145377
256,512,16,6,512,200,[3.10874423 0.58086253 0.51258598 0.5726422  0.04817009],,0.256379-0.771152-0.505101-0.995594-0.836935,0.695352774540794,0.9019394231148777
256,512,16,6,512,200,[0.7202876  1.61475874 0.02718773 7.92776874 6.39211421],,0.486271-0.658225-0.006248-0.671231-0.784315,1.0575188355488332,0.364487183807688
256,512,16,6,512,200,[0.7202876  1.61475874 0.02718773 7.92776874 6.39211421],,0.486271-0.658225-0.006248-0.671231-0.784315,1.0575188355488332,0.364487183807688
256,512,16,6,512,200,[0.7202876  1.61475874 0.02718773 7.92776874 6.39211421],nei,0.478646-0.509503-0.684433-0.666425-0.000000,1.0495306932646846,3.47073152836911
256,512,16,6,512,200,[0.7202876  1.61475874 0.02718773 7.92776874 6.39211421],nei,0.478646-0.509503-0.684433-0.666425-0.000000,1.0495306932646846,3.47073152836911
256,512,16,6,512,200,[0.7202876  1.61475874 0.02718773 7.92776874 6.39211421],nei,0.680715-0.336438-0.648672-0.721291-0.018076,1.0692269977345972,2.39751852212755
256,512,16,6,512,200,[0.7202876  1.61475874 0.02718773 7.92776874 6.39211421],nei,0.680715-0.336438-0.648672-0.721139-0.018076,1.069214007484385,2.397527918594781
256,512,16,6,512,200,[0.84472649 2.20946218 0.03469985 7.81246234 6.46008001],nei,0.680715-0.325590-0.627109-0.796248-0.081126,1.0775474838290355,1.9808426537161443
256,512,16,6,512,200,[0.84472649 2.20946218 0.03469985 7.81246234 6.46008001],nei,0.680715-0.325734-0.627148-0.796248-0.081383,1.077518388601097,1.980861688542336
256,512,16,6,512,200,[1.41997603 2.41560345 1.86978156 4.08438988 3.59934167],nei,0.580715-0.416912-0.693269-0.896248-0.181383,1.089305638814291,2.5215806261457856
256,512,16,6,512,200,[0.82087685 2.21449316 0.03816084 7.09371941 6.73063936],nei,0.498038-0.402339-0.559643-0.753112-0.050769,1.0921545624437894,2.239758050482004
256,512,16,6,512,200,[0.88548616 3.14105949 4.12977941 5.78858816 5.69953719],nei,0.507132-0.385127-0.534571-0.739722-0.150847,1.1017750123705756,2.1698665136423565
