num_samples,warmup_steps,thinning,max_tree_depth,raw_samples,max_iter,lengthscales,acquisition_function,best_x,posterior_mu,posterior_sigma
256,512,16,6,51,200,[0.58814481 8.29658969 9.99999999 0.01000018 0.34738026 0.01000005],ucb,0.069997-0.090945-0.735649-0.619013-0.371039-1.000000,1.3968367805166846,0.20099191362363994
256,512,16,6,51,200,"[4.20312819e-01 9.99994081e+00 1.00000000e+01 1.92173113e-01
 6.00927867e-01 9.99999978e-03]",ucb,0.060017-0.238620-0.738998-0.383864-0.092565-0.999622,1.4832777936825448,0.24837372497847343
256,512,16,6,51,200,[0.73900547 0.01003775 9.99999929 0.83215916 0.1914098  0.34254093],ucb,0.006963-0.799739-0.998374-0.274271-0.000000-0.846518,-0.446846823719695,0.9333278306259171
256,512,16,6,51,200,[1.42939718 0.25047139 9.98485444 1.86931037 2.10175368 0.90394334],ucb,1.000000-0.952883-0.467456-1.000000-0.813108-0.000000,-1.3636757888665962,1.604783311265224
256,512,16,6,51,200,[0.50044985 0.48534312 0.65482443 1.05314021 0.55160898 0.58736497],ucb,0.000000-0.000000-1.000000-0.174043-0.373841-0.778917,0.799123051229134,2.356620690431214
256,512,16,6,51,200,[0.50044985 0.48534312 0.65482443 1.05314021 0.55160898 0.58736497],ucb,0.000000-0.000000-1.000000-0.174043-0.373841-0.778917,0.799123051229134,2.356620690431214
256,512,16,6,51,200,[0.50044985 0.48534312 0.65482443 1.05314021 0.55160898 0.58736497],ucb,0.000000-0.000000-1.000000-0.174043-0.373841-0.778917,0.799123051229134,2.356620690431214
256,512,16,6,51,200,[0.50044985 0.48534312 0.65482443 1.05314021 0.55160898 0.58736497],nei,0.000000-0.000000-0.996163-0.184285-0.369511-0.751532,0.9231589230661366,2.3225668267559563
256,512,16,6,51,200,[0.65527021 0.61356856 0.393968   0.72476789 0.49020875 0.53811839],nei,0.017549-0.447776-0.305764-0.197825-0.348811-0.738295,0.9187206728192852,1.4609572105728152
256,512,16,6,51,200,[0.65527021 0.61356856 0.393968   0.72476789 0.49020875 0.53811839],nei,0.017549-0.447776-0.305764-0.197825-0.348811-0.738295,0.9187206728192852,1.4609572105728152
256,512,16,6,51,200,[0.65527021 0.61356856 0.393968   0.72476789 0.49020875 0.53811839],nei,0.017549-0.447776-0.305764-0.197491-0.349253-0.738257,0.9195276186607462,1.460252905097933
256,512,16,6,51,200,[0.12010429 0.13802067 0.31911218 1.17543047 0.65680605 0.54538963],nei,0.000000-0.397776-0.282455-0.194262-0.352128-0.730516,1.0010859830948466,1.2964264856763499
256,512,16,6,51,200,[0.12010429 0.13802067 0.31911218 1.17543047 0.65680605 0.54538963],nei,0.000000-0.347776-0.282373-0.194228-0.352063-0.730523,1.0023815611560118,1.2963546879273686
256,512,16,6,51,200,[0.12010429 0.13802067 0.31911218 1.17543047 0.65680605 0.54538963],nei,0.000000-0.347776-0.282423-0.194262-0.352134-0.730529,1.002339579915038,1.2963891825057496
256,512,16,6,51,200,[0.10582363 0.18098325 0.29862152 1.24817518 0.65366514 0.54521345],nei,0.000000-0.297776-0.186803-0.196445-0.346078-0.721024,1.0316401276640563,1.402765339529493
256,512,16,6,51,200,[0.19022324 0.03643287 0.33393523 1.26150432 0.60410506 0.52743424],nei,0.000000-0.097776-0.000000-0.188488-0.343513-0.708978,1.072623925140812,1.772487456483787
256,512,16,6,51,200,[1.81317134 0.25319827 0.50149289 0.46171165 0.48369721 0.45662631],nei,0.000000-0.235413-0.217685-0.171428-0.351872-0.706723,1.0470999796331455,1.5805533199405057
256,512,16,6,51,200,[1.81317134 0.25319827 0.50149289 0.46171165 0.48369721 0.45662631],nei,0.000000-0.235548-0.217688-0.171432-0.351873-0.706719,1.0470957747587681,1.5805565026682324
