num_samples,warmup_steps,thinning,max_tree_depth,raw_samples,max_iter,lengthscales,acquisition_function,best_x,posterior_mu,posterior_sigma
256,512,16,6,512,200,[10.          9.99985655  3.14187169  4.9514998 ],nei,0.940461-0.990218-0.999999-1.000000,2746.7412659915485,55.4198566021835
256,512,16,6,512,200,[9.87089015 9.66398136 4.34070011 0.23655114],nei,0.043425-0.831115-0.000000-1.000000,6553.910612521051,1495.7104315079166
256,512,16,6,512,200,[9.92721933 1.61811161 2.32446536 0.37478198],nei,0.107267-0.530433-1.000000-1.000000,13.361637626972406,2.1467808947544116
256,512,16,6,512,200,[9.92721933 1.61811161 2.32446536 0.37478198],nei,0.107267-0.530433-1.000000-1.000000,13.361637626972406,2.1467808947544116
256,512,16,6,512,200,[9.92721933 1.61811161 2.32446536 0.37478198],nei,0.107267-0.530433-1.000000-1.000000,13.361637626972406,2.1467808947544116
256,512,16,6,512,200,[9.92721933 1.61811161 2.32446536 0.37478198],nei,0.107267-0.530433-1.000000-1.000000,13.361637626972406,2.1467808947544116
256,512,16,6,512,200,[9.92721933 1.61811161 2.32446536 0.37478198],nei,0.107267-0.530433-1.000000-1.000000,13.361637626972406,2.1467808947544116
256,512,16,6,512,200,[9.99999999 1.24089779 1.26216532 0.06332699],nei,0.000000-1.000000-1.000000-0.000000,7.115874974516051,7.207567108638077
256,512,16,6,512,200,[9.99983441 0.01       7.24973402 9.97325782],nei,0.281389-0.982893-1.000000-0.990138,5784.858177445551,6282.2880361296575
256,512,16,6,512,200,[9.99983441 0.01       7.24973402 9.97325782],nei,0.281389-0.982893-1.000000-0.990138,5784.858177445551,6282.2880361296575
256,512,16,6,512,200,[9.99983441 0.01       7.24973402 9.97325782],nei,0.281389-0.982893-1.000000-0.990138,5784.858177445551,6282.2880361296575
512,512,16,6,512,200,[9.98192014 1.38426141 1.41446973 0.18190011],ucb,0.000000-1.000000-1.000000-0.000000,7.456710687833895,7.94723358089006
512,512,16,6,512,200,[2.56900527 9.00899341 4.95291364 7.90923421],ucb,0.678629-1.000000-1.000000-1.000000,20.90886555251009,1.286376758864568
512,512,16,6,512,200,[0.50171388 0.41374378 9.44791004 5.45283891],ucb,1.000000-0.000000-0.000000-1.000000,20.585934438082287,5.910965596810289
512,512,16,6,512,200,[0.01554321 0.02505877 0.43600705 2.20036785],ucb,1.000000-0.998438-1.000000-1.000000,12.503089086223733,7.000522173004109
512,512,16,6,512,200,[0.06706428 1.38489606 9.52553906 2.00225708],ucb,0.923712-0.962238-0.427396-0.862092,13.658628367713845,6.802898224600094
512,512,16,6,512,200,[0.01000024 0.2645603  2.68018273 0.04717452],ucb,0.942811-0.989710-0.866515-0.926457,15.556189111542139,3.3159723650956425
512,512,16,6,512,200,[1.46593720e-01 1.00000000e+01 4.34986444e+00 9.99999978e-03],ucb,0.923008-0.480873-0.050024-1.000000,16.6028606410299,5.2064637158839755
512,512,16,6,512,200,[0.01       0.10448712 3.81605853 0.01      ],ucb,0.377666-0.043602-0.726241-0.999258,16.279252737456176,3.916402976214854
512,512,16,6,512,200,[0.01031027 0.42018099 9.97206256 0.09884358],nei,0.107477-0.594849-0.839447-0.965661,13.152440901863676,3.604692443667517
512,512,16,6,512,200,[9.99999978e-03 9.99999978e-03 1.00000000e+01 9.99999994e-03],nei,0.844658-0.903032-0.826250-0.923100,12.26242528703888,5.012069848137587
512,512,16,6,512,200,[1.00002995e-02 9.99999978e-03 1.00000000e+01 9.99999978e-03],nei,0.818447-0.103083-0.193025-0.917864,9.587239707095934,5.400289998051629
512,512,16,6,512,200,[0.01       0.76856283 0.01       0.01      ],nei,0.958096-0.260625-1.000000-1.000000,5.656872603161522,6.465157095883182
512,512,16,6,512,200,[0.1030107  0.01006304 9.99948242 0.01004455],nei,0.038143-0.945273-0.244676-0.909712,9.648131902452882,4.112863372573227
256,512,16,6,512,200,[9.99983441 0.01       7.24973402 9.97325782],nei,0.281389-0.982893-1.000000-0.990138,5784.858177445551,6282.2880361296575
256,512,16,6,512,200,[1.87587652 5.51326079 0.9943748  9.9999941 ],nei,1.000000-1.000000-1.000000-1.000000,7866.877005545961,191.78061059929004
946,2040,39,6,355,860,[9.9951967  1.67776664 2.07656285 1.42483442],ucb,0.346774-1.000000-1.000000-1.000000,12.484223105296117,1.2614972745379687
946,2040,39,6,355,860,[0.20919087 0.08181349 1.07091492 0.36913668],ucb,0.990424-0.984643-1.000000-1.000000,17.284376298334568,3.3398429832046586
946,2040,39,6,355,860,[ 0.02837808 10.          9.99960302  0.31169748],ucb,0.933257-0.867588-1.000000-1.000000,16.520296992917846,3.4389024804147152
946,2040,39,6,355,860,[0.02532792 0.03782582 3.10157126 0.21926971],ucb,0.934946-0.993475-1.000000-0.990709,17.37218007902719,3.710764187639079
946,2040,39,6,355,860,[0.29658259 1.46804287 9.9893276  0.19315631],ucb,0.172275-0.966970-1.000000-1.000000,9.500784980965353,11.461832277850943
946,2040,39,6,355,860,[0.19806159 0.05189958 9.99779164 0.19623557],ucb,0.492448-0.949046-0.000000-0.189491,5.648267971860651,15.676699078752609
946,2040,39,6,355,860,[0.20721274 0.05805762 8.12632357 0.18522739],ucb,0.261066-0.871114-0.818338-0.982362,9.380193649481331,10.657743124125654
946,2040,39,6,355,860,[9.99999715 0.3120958  9.99818137 0.04346987],ucb,1.000000-0.867894-1.000000-0.918730,9.992436525421482,8.080168424599401
946,2040,39,6,355,860,[0.26188699 0.28265094 9.99938937 0.05416226],nei,1.000000-0.000000-0.946685-0.984468,4.500415130125264,10.026632161815805
946,2040,39,6,355,860,[0.27966995 9.99853668 9.99999966 0.07298023],nei,0.000000-0.000000-0.000000-1.000000,5.393208785351393,11.094170047100587
946,2040,39,6,355,860,[0.25618356 0.25817349 9.98797041 0.05645114],nei,0.000000-1.000000-1.000000-0.716369,3.923307081827288,14.838320954360862
946,2040,39,6,355,860,[0.25137802 0.25739533 9.998461   0.05379687],nei,0.109022-0.528307-0.838454-1.000000,5.943336691757196,7.0456266287747935
946,2040,39,6,355,860,[0.31377074 9.99999416 3.3245446  0.05553133],nei,0.000000-1.000000-1.000000-0.000000,3.313408239209903,8.165517596788284
184,611,51,3,366,460,[3.29206636 0.75903687 1.71780239 1.00650798],ucb,0.000000-0.000000-0.000000-1.000000,11.621096918060601,3.9750162821846255
184,611,51,3,366,460,[3.19576938 0.72514767 1.54296685 0.80962499],ucb,0.000000-1.000000-1.000000-1.000000,17.727879322659177,1.5617216310166369
