num_samples,warmup_steps,thinning,max_tree_depth,raw_samples,max_iter,lengthscales,acquisition_function,best_x,posterior_mu,posterior_sigma
256,512,16,6,512,200,[0.08682981 1.19925142],,0.917455-0.229001,0.3570114699819853,0.14712372913082036
256,512,16,6,512,200,[0.02266844 0.01492782],,0.970562-0.077750,0.260674394137552,0.20670116084160395
256,512,16,6,512,200,[0.02837981 0.01000048],,0.526544-0.101871,-0.9503327560719808,0.2574297334610604
256,512,16,6,512,200,[0.02837981 0.01000048],ucb,0.687194-0.022624,-0.37582345547750845,0.21895833911254176
256,512,16,6,512,200,[0.02266844 0.01492782],,0.970562-0.077750,0.260674394137552,0.20670116084160395
256,512,16,6,512,200,[0.02837981 0.01000048],,0.526544-0.101871,-0.9503327560719808,0.2574297334610604
256,512,16,6,512,200,[0.04465207 1.33061817],,0.771577-0.230356,-0.8155850104716665,0.2809895773226191
256,512,16,6,512,200,[0.04465207 1.33061817],,0.771577-0.230356,-0.8155850104716665,0.2809895773226191
256,512,16,6,512,200,[0.04465207 1.33061817],,0.771577-0.230356,-0.8155850104716665,0.2809895773226191
700,1604,12,5,1863,220,[9.97349825 0.01100154 4.1510995  9.99779909],ucb,0.021571-1.000000-1.000000-1.000000,5129.513664486334,4435.610056228385
700,1604,12,5,1863,220,[0.08047316 0.03349925 3.5568135  0.05913257],ucb,0.000000-0.998336-0.999996-0.999999,5789.5756740003335,2142.275300629094
700,1604,12,5,1863,220,[0.01       0.01011051 0.01006115 0.01      ],ucb,1.000000-1.000000-0.060585-1.000000,1485.5458639041462,3138.513224267287
700,1604,12,5,1863,220,[2.47512709 9.76894498 1.7619173  2.3172789 ],ucb,0.704817-0.000000-1.000000-1.000000,7337.990205574891,584.2683352006503
700,1604,12,5,1863,220,[0.05828355 0.01027342 0.01       0.12015554],ucb,0.657500-0.998737-0.999983-1.000000,5959.940349824338,1872.3555201305896
700,1604,12,5,1863,220,[0.01016382 3.72425306 9.85384314 9.9168187 ],ucb,0.995829-0.225836-0.979071-0.836431,8290.380039290192,4946.203312462027
700,1604,12,5,1863,220,[0.01       1.38277312 9.97463948 9.98526883],ucb,0.968144-0.226200-1.000000-1.000000,8016.897407603403,1538.673918856844
700,1604,12,5,1863,220,[0.01020797 0.36450847 5.18440435 9.98576841],ucb,0.968220-0.988884-1.000000-1.000000,7348.049240503068,1277.372780033841
700,1604,12,5,1863,220,[1.00000000e+01 9.99999978e-03 1.00000000e+01 1.00000000e+01],nei,0.858744-0.990359-0.771120-0.348944,6629.314677427509,1377.255644279606
700,1604,12,5,1863,220,[9.99999978e-03 9.99999978e-03 1.48658878e-01 1.00000000e+01],nei,0.071728-0.943242-0.990209-0.946518,1454.4978854674023,501.51056415531986
700,1604,12,5,1863,220,[0.01056216 0.77592338 3.13159258 0.14664583],nei,0.934895-1.000000-1.000000-1.000000,6956.018365374688,988.97518088526
700,1604,12,5,1863,220,[9.99999978e-03 9.99999978e-03 1.21176165e-01 1.00000000e+01],nei,0.089020-0.911998-0.905698-0.660279,1209.788718926464,468.60711688949306
700,1604,12,5,1863,220,[9.99999978e-03 9.99999978e-03 9.99999978e-03 1.00000000e+01],nei,0.869212-0.725209-0.915619-0.886228,1243.932366190873,451.7480860399337
238,633,57,3,161,267,[9.98192014 1.38426141 1.41446973 0.18190011],ucb,0.000000-1.000000-1.000000-0.000000,7.456710687833895,7.94723358089006
238,633,57,3,161,267,[2.56900527 9.00899341 4.95291364 7.90923421],ucb,0.678676-1.000000-1.000000-1.000000,20.908915031982524,1.2863519823537586
238,633,57,3,161,267,[0.51859956 0.13746468 9.99999976 5.72113348],ucb,1.000000-0.000000-0.000000-1.000000,20.722057519499415,5.932635901449621
238,633,57,3,161,267,[0.11636024 0.13915943 2.32314153 2.40204411],ucb,1.000000-1.000000-1.000000-1.000000,1.085516632610065,10.519544740006227
238,633,57,3,161,267,[0.06505301 1.70825884 7.36758532 1.96976118],ucb,0.924450-0.776532-0.790691-0.959747,13.698524391389345,6.737288934807766
238,633,57,3,161,267,[0.01151572 1.60719468 7.13084404 1.82985723],ucb,0.943881-0.959058-0.311165-0.798318,13.922502682473784,5.834016147017603
238,633,57,3,161,267,[0.01005414 1.36056433 6.49972558 1.94737173],ucb,0.939007-0.470985-0.565060-0.795138,16.64788713812046,4.824926205405158
238,633,57,3,161,267,[0.10946206 9.38319692 3.89152318 0.01000002],ucb,0.950506-0.476576-0.737208-1.000000,15.95701548138363,3.4759946927818666
238,633,57,3,161,267,[0.01015047 1.85196831 8.25115919 0.42801621],nei,0.035025-0.000000-0.930915-0.996695,14.445814071338734,3.933202322825535
238,633,57,3,161,267,[0.01000712 0.03534223 2.33159821 1.86427905],nei,0.766288-0.992365-1.000000-1.000000,16.4441564760447,5.193287426167218
238,633,57,3,161,267,[0.01410586 0.0875321  2.72896582 1.36896366],nei,0.015381-0.828795-0.995134-1.000000,14.569991324976725,2.6826441747773724
238,633,57,3,161,267,[0.01000132 9.8798756  9.99279417 0.53158929],nei,0.933125-0.725209-0.790663-1.000000,17.617643214906003,3.71696897474571
238,633,57,3,161,267,[0.03397984 8.99768886 9.96122517 0.69381186],nei,0.247718-0.032088-0.761692-0.965274,10.73156650567449,5.345686502359382
70,1946,6,10,1977,62,[3.22802993 5.11930857 1.93052071 5.0334278 ],ucb,1.000000-1.000000-1.000000-1.000000,7841.681214594785,134.80568026791963
70,1946,6,10,1977,62,[10.          9.99992365  0.2484739   9.99979432],ucb,1.000000-1.000000-1.000000-0.000000,2130.488302140435,457.11216720682313
70,1946,6,10,1977,62,[9.99999936 9.99688259 0.50777772 0.62113386],ucb,1.000000-1.000000-1.000000-1.000000,2046.4249896523932,425.24748490037075
70,1946,6,10,1977,62,[9.99999987 9.99918964 0.44281196 0.54045524],ucb,1.000000-0.000000-1.000000-1.000000,1659.573523456551,404.0980940614984
70,1946,6,10,1977,62,[9.9999231  0.80752291 0.42530612 0.58305796],ucb,0.000000-1.000000-1.000000-1.000000,1609.550631033347,404.571150942282
70,1946,6,10,1977,62,[9.99907176 0.79286318 0.38963326 0.51262631],ucb,1.000000-1.000000-1.000000-1.000000,1363.6969904833477,370.5738019601471
70,1946,6,10,1977,62,[9.99933299 0.78677817 0.36866393 0.46272595],ucb,0.673187-0.914958-1.000000-0.988078,1197.0841770231827,335.9791214617243
70,1946,6,10,1977,62,[9.99964329 0.8373883  0.36003536 0.42952449],ucb,0.572789-0.923114-1.000000-0.971588,1062.7886707476043,311.35398791926735
70,1946,6,10,1977,62,[ 0.05051083 10.         10.          9.99999357],nei,0.931152-1.000000-0.874915-0.922812,7380.13508072918,485.8084563419497
70,1946,6,10,1977,62,[ 0.02913484 10.          9.99361155  0.03947367],nei,0.936750-0.925773-0.951043-1.000000,7332.353184561905,282.51812760435536
70,1946,6,10,1977,62,[9.99896167 0.99369561 0.30190487 0.40627787],nei,1.000000-1.000000-1.000000-0.702411,697.6033416201797,294.81132751603644
70,1946,6,10,1977,62,[9.99777243 1.14832529 0.35667277 0.29955721],nei,0.443135-0.265015-1.000000-0.813440,642.5734171196711,284.0344975454381
70,1946,6,10,1977,62,[9.99775617 0.76753096 0.37289369 0.28641194],nei,0.056364-0.537385-1.000000-0.711362,557.9689677120333,282.7305084895039
484,1330,31,5,773,697,[9.9951967  1.67776664 2.07656285 1.42483442],ucb,0.346754-1.000000-1.000000-1.000000,12.48419252301278,1.2615125657705797
484,1330,31,5,773,697,[0.34989802 0.3334262  0.35041615 0.30953719],ucb,0.794044-1.000000-0.000000-0.156207,7.72023862777619,25.037069523515147
484,1330,31,5,773,697,[0.43195794 0.17508863 0.94035424 0.4308837 ],ucb,1.000000-1.000000-1.000000-1.000000,17.532918733627852,2.964981931439834
484,1330,31,5,773,697,[0.03440452 9.99970867 9.99931848 0.30485311],ucb,0.931654-0.849216-1.000000-0.982783,16.310235180434507,3.6243423962790193
484,1330,31,5,773,697,[0.02996503 0.04239852 5.96464003 0.22166048],ucb,0.933609-0.992142-0.783332-1.000000,16.938914460193956,3.753697839902839
484,1330,31,5,773,697,[0.33893174 1.3211724  2.33584594 0.23161462],ucb,0.498622-1.000000-0.000000-0.350374,4.5138822228645665,27.533423559648092
484,1330,31,5,773,697,[0.35369221 0.62116332 1.69045131 0.27350917],ucb,0.696006-1.000000-1.000000-1.000000,4.811636245937169,43.40850547208744
484,1330,31,5,773,697,[0.30319037 0.33817592 1.32287212 0.54826394],ucb,0.326424-0.000000-1.000000-0.884472,5.39869330460719,14.258448626917403
484,1330,31,5,773,697,[0.22942762 0.14699115 0.90530679 0.65165184],nei,0.821044-0.183555-0.660402-1.000000,5.171526182564233,13.971228687203833
484,1330,31,5,773,697,[0.23705167 0.20307827 0.99663471 0.25452374],nei,0.000000-1.000000-0.000000-0.096833,3.2823601242582936,10.534833511062182
484,1330,31,5,773,697,[0.29330535 0.2184834  1.22491455 0.26517592],nei,0.241612-0.841375-1.000000-1.000000,8.081142925780105,6.743264623222549
484,1330,31,5,773,697,[0.36828945 0.31380374 1.7381851  0.0678427 ],nei,0.107267-0.530433-1.000000-1.000000,5.761055699941222,6.613048008405117
484,1330,31,5,773,697,[9.99487267 0.38268856 9.48534964 0.0454371 ],nei,1.000000-0.577533-1.000000-0.938253,5.2223888683370205,11.264191055875125
630,1690,21,5,249,622,[4.41226019 3.44350668 5.38650099 6.22608944],ucb,1.000000-1.000000-1.000000-1.000000,7226.3742759785455,516.700443259336
630,1690,21,5,249,622,[10.          9.99999987  0.27576069  9.99983535],ucb,0.940460-0.990217-0.999999-1.000000,2128.04552958407,472.0301404755634
630,1690,21,5,249,622,[10.         10.          0.25495016  9.99988238],ucb,0.940320-0.990222-1.000000-1.000000,1674.3652413827308,425.01117708366627
630,1690,21,5,249,622,[10.         10.          0.24280346  9.99930946],ucb,0.121911-0.978806-1.000000-0.954516,1394.8092602524569,398.682963132783
630,1690,21,5,249,622,[10.         10.          0.23265907  9.99929943],ucb,0.940413-0.990334-0.999998-1.000000,1224.813823176134,357.55087751195725
630,1690,21,5,249,622,[10.          9.99999998  0.22370481  9.85108126],ucb,0.191840-0.235308-1.000000-1.000000,1057.7266393278403,338.71502797086487
630,1690,21,5,249,622,[9.99999991 1.36411351 0.23110982 9.99448869],ucb,0.385266-0.888196-0.996802-0.955911,988.336480380227,315.2563320780026
630,1690,21,5,249,622,[10.          1.85699995  0.21714439  9.99802784],ucb,0.940369-0.990107-0.999994-0.999829,884.026065786033,281.8251550494973
630,1690,21,5,249,622,[10.          2.46374921  0.20779185  9.99819325],nei,1.000000-0.000000-1.000000-0.000000,721.708569781062,275.40606298607497
630,1690,21,5,249,622,[9.997741   1.94624974 0.35128453 0.38443438],nei,0.000000-1.000000-1.000000-0.775897,685.356487600892,283.98238444049827
630,1690,21,5,249,622,[9.99966529 2.77532723 0.41027634 0.30776186],nei,1.000000-0.000000-0.876388-1.000000,669.7354971730425,267.2900741415998
630,1690,21,5,249,622,[9.99801174 0.81910452 0.38575775 0.32790711],nei,1.000000-0.620099-0.895168-1.000000,659.3511477959923,261.07726894094327
630,1690,21,5,249,622,[9.98362078 0.67682201 0.35574812 0.34230222],nei,1.000000-0.738387-0.828099-1.000000,611.4656837762994,245.39828898019672
320,1587,44,6,653,829,[4.41226019 3.44350668 5.38650099 6.22608944],ucb,1.000000-1.000000-1.000000-1.000000,7226.3742759785455,516.700443259336
320,1587,44,6,653,829,[10.          9.99999987  0.27576069  9.99983535],ucb,0.940461-0.990218-0.999999-1.000000,2128.0457641554126,472.0301585184694
320,1587,44,6,653,829,[10.         10.          0.25494991  9.99988742],ucb,0.940360-0.990248-1.000000-1.000000,1674.3643237896968,425.0111418668874
320,1587,44,6,653,829,[10.         10.          0.24283507  9.99944988],ucb,0.123162-0.977939-1.000000-0.954390,1394.8625261134996,398.6340950786371
320,1587,44,6,653,829,[10.         10.          0.23265861  9.99906081],ucb,0.940406-0.990133-0.999999-1.000000,1224.783436778178,357.53751255954967
320,1587,44,6,653,829,[10.         10.          0.22368319  9.99893997],ucb,0.188407-0.234835-1.000000-1.000000,1057.7039898668952,338.76264340119906
320,1587,44,6,653,829,[9.99991622 1.37210394 0.23099867 9.99555525],ucb,0.390860-0.888451-0.996646-0.956046,988.2004109521533,315.1298315463359
320,1587,44,6,653,829,[10.          1.85754719  0.21729795  9.98197386],ucb,0.940440-0.990231-1.000000-0.999999,884.0345287268499,281.8208588391395
320,1587,44,6,653,829,[10.          2.4558221   0.20782101  9.99606852],nei,1.000000-0.000000-1.000000-0.000000,721.5322362555162,275.4393760255806
320,1587,44,6,653,829,[9.99955115 1.95627129 0.35130128 0.3850992 ],nei,1.000000-0.000000-0.852763-1.000000,661.547161861416,287.2405896384622
320,1587,44,6,653,829,[9.99928149 0.73407387 0.32774361 0.47481515],nei,1.000000-1.000000-1.000000-0.763022,690.9470649456158,280.7974539645224
320,1587,44,6,653,829,[9.99867592 0.84056212 0.38517372 0.32682428],nei,0.000000-0.574170-1.000000-0.887453,655.6046322843345,262.79441810866814
320,1587,44,6,653,829,[9.99947902 0.6524224  0.4008101  0.32063728],nei,0.000000-0.656418-1.000000-0.812473,597.5076048115237,250.49059501261496
119,1889,25,7,351,782,[9.97349825 0.01100154 4.1510995  9.99779909],ucb,0.000000-1.000000-0.999999-1.000000,5129.513664486334,4435.610060375696
119,1889,25,7,351,782,[0.01051699 0.01149147 5.50632753 0.28209498],ucb,0.245352-0.999525-0.999997-0.999992,5179.012228357395,4795.810671062506
119,1889,25,7,351,782,[0.2003348  0.04428628 4.10011479 7.81289563],ucb,0.996955-0.990213-0.997644-0.000002,5401.626730186101,2564.647177312234
119,1889,25,7,351,782,[0.01004158 0.01064544 3.14815088 9.98745328],ucb,0.968243-0.985518-1.000000-0.989174,6360.695642707905,1292.1465882814755
119,1889,25,7,351,782,[9.99999978e-03 1.00000000e+01 9.99999978e-03 1.14053175e-01],ucb,0.893399-0.406686-0.911537-0.979197,1581.1015091256913,597.5927491992429
